"year4","expenditures","state_abbr","inflation_adjusted_exp","ia_gdp","pct_gdp","year"
"2012","Natural Resources","CA",1889902980.60925,2345437091174.42,0.0805778585032492,2012
"1972","Health","CA",2768443664.7185,1730164885206.43,0.160010394869861,1972
"1977","Health","CA",4618883550.21053,1952365781473.68,0.236578800655075,1977
"1982","Health","CA",4856895141.89189,2063477348150.27,0.235374289242655,1982
"1987","Health","CA",6158941976.42583,2292613813731.74,0.268642801484336,1987
"1992","Health","CA",8273504833.93477,2058560063065.75,0.401907380910386,1992
"1997","Health","CA",8666796695.37084,2211808536168.8,0.391842085499096,1997
"2002","Health","CA",12155757424.2752,2437843530274.16,0.498627466173277,2002
"2007","Health","CA",13483173157.0699,2700487942572.94,0.499286552793253,2007
"2012","Health","CA",13588474143.0792,2505164446479.6,0.542418449302781,2012
"1972","Water Transportation","CA",224536515.287081,799833465507.177,0.0280729082953164,1972
"1977","Water Transportation","CA",264611252.689769,951355748250.825,0.0278141224432907,1977
"1982","Water Transportation","CA",330238231.813471,1024692725221.76,0.0322280254055675,1982
"1987","Water Transportation","CA",382931543.653169,1360220756747.36,0.0281521614600896,1987
"1992","Water Transportation","CA",445812468.3464,1444998900561.65,0.0308520974080408,1992
"1997","Water Transportation","CA",496215593.53271,1674865854362.62,0.0296271843049513,1997
"2002","Water Transportation","CA",538389320.283491,2004990850507.5,0.026852457713072,2002
"2007","Water Transportation","CA",721317879.208876,2369170924225.76,0.0304460042048085,2007
"2012","Water Transportation","CA",698757391.530266,2345437091174.42,0.0297922035154812,2012
"1972","Protective Inspection","CA",0,799833465507.177,0,1972
"1977","Protective Inspection","CA",360686614.108911,951355748250.825,0.0379129063730444,1977
"1982","Protective Inspection","CA",453806295.119171,1024692725221.76,0.0442870612769266,1982
"1987","Protective Inspection","CA",988994645.475352,1360220756747.36,0.0727083924112653,1987
"1992","Protective Inspection","CA",1180399776.47897,1444998900561.65,0.0816886279996591,1992
"1997","Protective Inspection","CA",1173891587.61371,1674865854362.62,0.0700886930470286,1997
"2002","Protective Inspection","CA",1217624682.49027,2004990850507.5,0.0607296877281044,2002
"2007","Protective Inspection","CA",1656724765.55716,2369170924225.76,0.0699284609909932,2007
"2012","Protective Inspection","CA",1205723518.82889,2345437091174.42,0.0514071992536433,2012
"1972","Corrections","CA",1220836578.18182,799833465507.177,0.152636346293373,1972
"1977","Corrections","CA",1603890022.82178,951355748250.825,0.168589933447158,1977
"1982","Corrections","CA",1679892819.27461,1024692725221.76,0.163941128684314,1982
"1987","Corrections","CA",2423164866.40845,1360220756747.36,0.17814497054161,1987
"1992","Corrections","CA",3356140808.56023,1444998900561.65,0.232259056201063,1992
"1997","Corrections","CA",3580762352.05607,1674865854362.62,0.213793978946377,1997
"2002","Corrections","CA",4877254471.37298,2004990850507.5,0.24325569715884,2002
"2007","Corrections","CA",5728815421.82344,2369170924225.76,0.241806758779787,2007
"2012","Corrections","CA",5503881026.2594,2345437091174.42,0.234663340448132,2012
"1972","Police","CA",4105767655.64593,799833465507.177,0.513327815439987,1972
"1977","Police","CA",4914027248.56436,951355748250.825,0.516528886023903,1977
"1982","Police","CA",5245068370.95337,1024692725221.76,0.511867435168747,1982
"1987","Police","CA",7258762869.60387,1360220756747.36,0.533645941925005,1987
"1992","Police","CA",8858399898.26087,1444998900561.65,0.613038521677609,1992
"1997","Police","CA",10129554685.5763,1674865854362.62,0.604797969890622,1997
"2002","Police","CA",12078059660.8783,2004990850507.5,0.602399739521059,2002
"2007","Police","CA",14557042243.1356,2369170924225.76,0.61443613435754,2007
"2012","Police","CA",14273617517.0649,2345437091174.42,0.608569616758202,2012
"1972","Police + Corrections","CA",5326604233.82775,799833465507.177,0.665964161733359,1972
"1977","Police + Corrections","CA",6517917271.38614,951355748250.825,0.685118819471062,1977
"1982","Police + Corrections","CA",6924961190.22798,1024692725221.76,0.675808563853062,1982
"1987","Police + Corrections","CA",9681927736.01232,1360220756747.36,0.711790912466614,1987
"1992","Police + Corrections","CA",12214540706.8211,1444998900561.65,0.845297577878674,1992
"1997","Police + Corrections","CA",13710317037.6324,1674865854362.62,0.818591948836996,1997
"2002","Police + Corrections","CA",16955314132.2513,2004990850507.5,0.845655436679902,2002
"2007","Police + Corrections","CA",20285857664.959,2369170924225.76,0.856242893137329,2007
"2012","Police + Corrections","CA",19777498543.3243,2345437091174.42,0.843232957206335,2012
