"year4","county","expenditure","total_expenditures","inflation_adjusted_exp","gdp","ia_gdp","pct_gdp","year"
"1992","Ventura","Hospitals",58652000,149547790.447133,807358400000,2058560063065.75,0.00726467947815988,1992
"1997","Ventura","Hospitals",80215000,165732190.984655,1070523600000,2211808536168.8,0.00749306227345198,1997
"2002","Ventura","Hospitals",104525000,177394955.094538,1436430900000,2437843530274.16,0.0072767161998534,2002
"1972","Ventura","Housing",772000,4637669.95215311,133142600000,799833465507.177,0.000579829446022535,1972
"1977","Ventura","Housing",1869000,7744537.67326733,229592000000,951355748250.825,0.000814052754451375,1977
"1982","Ventura","Housing",9866000,25672763.3367876,393787700000,1024692725221.76,0.00250541091049822,1982
"1987","Ventura","Housing",13652000,30177048.9788732,615359500000,1360220756747.36,0.00221854054418596,1987
"1992","Ventura","Housing",53310000,95413500.8553101,807358400000,1444998900561.65,0.0066030154637643,1992
"1997","Ventura","Housing",57704000,90279615.7507788,1070523600000,1674865854362.62,0.0053902594954469,1997
"2002","Ventura","Housing",55904000,78031604.9360756,1436430900000,2004990850507.5,0.00389186838016364,2002
"1972","Ventura","Libraries",1853000,11131609.354067,133142600000,799833465507.177,0.00139174088533647,1972
"1977","Ventura","Libraries",3005000,12451758.0033003,229592000000,951355748250.825,0.00130884351371128,1977
"1982","Ventura","Libraries",5459000,14205109.9792746,393787700000,1024692725221.76,0.00138627996760691,1982
"1987","Ventura","Libraries",10132000,22396268.6971831,615359500000,1360220756747.36,0.00164651719848316,1987
"1992","Ventura","Libraries",15161000,27134948.1610834,807358400000,1444998900561.65,0.0018778525125892,1992
"1997","Ventura","Libraries",15817000,24746164.6043614,1070523600000,1674865854362.62,0.00147750129002294,1997
"2002","Ventura","Libraries",18802000,26244101.2451362,1436430900000,2004990850507.5,0.00130893870356033,2002
"1972","Ventura","Natural Resources",4078000,24497950.861244,133142600000,799833465507.177,0.00306288145191697,1972
"1977","Ventura","Natural Resources",6216000,25757114.0594059,229592000000,951355748250.825,0.002707411408063,1977
"1982","Ventura","Natural Resources",7877000,20497096.7772021,393787700000,1024692725221.76,0.00200031641414905,1982
"1987","Ventura","Natural Resources",11265000,24900707.3503521,615359500000,1360220756747.36,0.00183063721288125,1987
"1992","Ventura","Natural Resources",17385000,31115432.6086957,807358400000,1444998900561.65,0.00215331877391751,1992
"1997","Ventura","Natural Resources",22413000,35065801.8130841,1070523600000,1674865854362.62,0.00209364837916698,1997
"2002","Ventura","Natural Resources",22403000,31270428.6881601,1436430900000,2004990850507.5,0.00155962949557824,2002
"1972","Ventura","Parks",4854000,29159650.1913876,133142600000,799833465507.177,0.00364571519558729,1972
"1977","Ventura","Parks",11368000,47105352.7392739,229592000000,951355748250.825,0.00495139203456566,1977
"1982","Ventura","Parks",17177000,44697046,393787700000,1024692725221.76,0.00436199505469572,1982
"1987","Ventura","Parks",24403000,53941585.5721831,615359500000,1360220756747.36,0.00396564934806402,1987
"1992","Ventura","Parks",34042000,60927900.8838204,807358400000,1444998900561.65,0.00421646693711244,1992
"1997","Ventura","Parks",45533000,71237726.0498442,1070523600000,1674865854362.62,0.00425333920709455,1997
"2002","Ventura","Parks",62100000,86680070.5947749,1436430900000,2004990850507.5,0.00432321526917863,2002
"1972","Ventura","Protective Inspection",0,0,133142600000,799833465507.177,0,1972
"1977","Ventura","Protective Inspection",1197000,4959984.8019802,229592000000,951355748250.825,0.000521359629255375,1977
"1982","Ventura","Protective Inspection",4714000,12266511.8963731,393787700000,1024692725221.76,0.00119709173242333,1982
"1987","Ventura","Protective Inspection",12661000,27986494.0757042,615359500000,1360220756747.36,0.00205749647157475,1987
"1992","Ventura","Protective Inspection",18917000,33857385.0249465,807358400000,1444998900561.65,0.00234307341076776,1992
"1997","Ventura","Protective Inspection",18977000,29690078.1246106,1070523600000,1674865854362.62,0.00177268394643518,1997
"2002","Ventura","Protective Inspection",23895000,33352983.6853808,1436430900000,2004990850507.5,0.00166349804922743,2002
"1972","Ventura","Transit",461000,2769385.81339713,133142600000,799833465507.177,0.000346245303907239,1972
"1977","Ventura","Transit",3469000,14374425.4620462,229592000000,951355748250.825,0.00151094114777518,1977
"1982","Ventura","Transit",4319000,11238664.5906736,393787700000,1024692725221.76,0.00109678387618506,1982
"1987","Ventura","Transit",5321000,11761798.8292254,615359500000,1360220756747.36,0.000864697790478574,1987
"1992","Ventura","Transit",8203000,14681615.9729152,807358400000,1444998900561.65,0.00101602956010614,1992
"1997","Ventura","Transit",11264000,17622861.3582554,1070523600000,1674865854362.62,0.0010521953929834,1997
"2002","Ventura","Transit",19541000,27275608.0433574,1436430900000,2004990850507.5,0.00136038566143349,2002
"1972","Ventura","Water Transportation",758000,4553567.1291866,133142600000,799833465507.177,0.000569314404255287,1972
"1977","Ventura","Water Transportation",1683000,6973813.21782178,229592000000,951355748250.825,0.000733039478727482,1977
"1982","Ventura","Water Transportation",3169000,8246197.75129534,393787700000,1024692725221.76,0.000804748345364774,1982
"1987","Ventura","Water Transportation",2235000,4940353.38908451,615359500000,1360220756747.36,0.000363202323194815,1987
"1992","Ventura","Water Transportation",5637000,10089024.6543122,807358400000,1444998900561.65,0.000698202929454874,1992
"1997","Ventura","Water Transportation",5387000,8428120.92834891,1070523600000,1674865854362.62,0.000503211699396445,1997
"2002","Ventura","Water Transportation",8312000,11602008.8048916,1436430900000,2004990850507.5,0.000578656446335149,2002
"2007","Ventura","Corrections + Police",393599000,476775031.804149,1955856000000,2369170924225.76,0.0201241297927864,2007
